차종,가격,연식,배기량,주행거리,색상,변속기,연료,선루프,LED헤드램프,어댑티드헤드램프,가죽시트,열선시트(앞좌석),통풍시트,후방센서,스마트키,네비게이션(순정),네비게이션(비순정),전손유무,소유자 이전 횟수,침수유무
쉐보레 임팔라 2.5 LTZ,599만원,2016.01,"2,457 cc (199마력)","182,427 km",은색,자동,가솔린,,,,,,,,,,,,,
쉐보레 올 뉴 말리부  1.5 터보 LTZ,"1,190만원",2018.09,"1,490 cc (166마력)","86,000 km",흰색,자동,가솔린,0,0,0,1,1,1,1,1,0,0,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"3,540만원",2021.03,"2,497 cc (304마력)","122,897 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
GM대우 알페온 EL240 프리미엄,259만원,2012.08,"2,384 cc (181마력)","150,000 km",은색,자동,가솔린,,,,,,,,,,,,,
기아 더 K9 3.8 AWD  플래티넘Ⅱ,"3,450만원",2019.04,"3,778 cc (315마력)","48,830 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
기아 더 K9 3.8  플래티넘,"2,500만원",2019.01,"3,778 cc (315마력)","105,000 km",검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 1회, 침수분손 : 0 
현대 아반떼MD 1.6 M16 프리미엄,399만원,2011.02,"1,591 cc (140마력)","113,000 km",회색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
기아 카니발 4세대 2.2 디젤 7인승 하이리무진  시그니처,"4,350만원",2021.11,"2,151 cc (202마력)","80,848 km",흰색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
현대 그랜저IG 2.4 프리미엄,"2,090만원",2018.02,"2,359 cc (190마력)","18,723 km",흰색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
KG모빌리티 티볼리 1.6 가솔린 2WD VX,940만원,2016.06,"1,597 cc (126마력)","98,172 km",흰색,자동,가솔린,0,0,0,1,0,0,1,1,1,0,,,
기아 올 뉴 K3 1.6 트렌디,"1,130만원",2019.09,"1,598 cc (123마력)","99,965 km",검정색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
현대 더 뉴 그랜저 3.0 LPi   프리미엄,"2,050만원",2020.09,"2,999 cc (235마력)","120,763 km",진회색,자동,LPG,0,1,0,1,1,0,1,1,1,0,,,
기아 더 뉴 모하비 3.0 디젤 4WD 프레지던트,"2,450만원",2016.03,"2,959 cc (260마력)","65,816 km",흰색,자동,디젤,1,1,0,1,1,1,1,1,1,0,,,
기아 올 뉴 쏘울 1.6 레드존,"1,120만원",2016.1,"1,591 cc (132마력)","65,245 km",흰색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
기아 더 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,"1,990만원",2018.1,"1,995 cc (186마력)","131,519 km",파란색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
기아 더 뉴 쏘렌토 2.2 디젤 4WD 노블레스 스페셜,"1,990만원",2018.11,"2,199 cc (202마력)","139,422 km",진청색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
기아 올 뉴 K3 1.6 트렌디,990만원,2019.01,"1,598 cc (123마력)","53,283 km",검정색,자동,가솔린,0,0,0,0,0,0,1,0,0,0,,,
