브랜드,차이름,가격,연식,주행거리,연료,변속기,배기량,색상,소유자변경,썬루프,내비게이션,스마트키,오토라이트,주차감지센서,열선시트,통풍시트,가죽시트,사고이력,사이트
쉐보레,임팔라 2.5 LTZ,599만원,2016.01,"182,427 km",가솔린,자동,"2,457 cc (199마력)",은색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
쉐보레,올 뉴 말리부  1.5 터보 LTZ,"1,190만원",2018.09,"86,000 km",가솔린,자동,"1,490 cc (166마력)",흰색,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,더 올 뉴 G80 2.5 터보 AWD,"3,540만원",2021.03,"122,897 km",가솔린,자동,"2,497 cc (304마력)",검정색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
GM대우,알페온 EL240 프리미엄,259만원,2012.08,"150,000 km",가솔린,자동,"2,384 cc (181마력)",은색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,더 K9 3.8 AWD  플래티넘Ⅱ,"3,450만원",2019.04,"48,830 km",가솔린,자동,"3,778 cc (315마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,더 K9 3.8  플래티넘,"2,500만원",2019.01,"105,000 km",가솔린,자동,"3,778 cc (315마력)",검정색, 1회,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
현대,아반떼MD 1.6 M16 프리미엄,399만원,2011.02,"113,000 km",가솔린,자동,"1,591 cc (140마력)",회색,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
기아,카니발 4세대 2.2 디젤 7인승 하이리무진  시그니처,"4,350만원",2021.11,"80,848 km",디젤,자동,"2,151 cc (202마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
현대,그랜저IG 2.4 프리미엄,"2,090만원",2018.02,"18,723 km",가솔린,자동,"2,359 cc (190마력)",흰색,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,bobae
KG모빌리티,티볼리 1.6 가솔린 2WD VX,940만원,2016.06,"98,172 km",가솔린,자동,"1,597 cc (126마력)",흰색,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
기아,올 뉴 K3 1.6 트렌디,"1,130만원",2019.09,"99,965 km",가솔린,자동,"1,598 cc (123마력)",검정색,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
현대,더 뉴 그랜저 3.0 LPi   프리미엄,"2,050만원",2020.09,"120,763 km",LPG,자동,"2,999 cc (235마력)",진회색,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,bobae
기아,더 뉴 모하비 3.0 디젤 4WD 프레지던트,"2,450만원",2016.03,"65,816 km",디젤,자동,"2,959 cc (260마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
