차종,가격,연식,주행거리,연료,변속기,배기량,색상,전손이력,침수이력,소유자변경,썬루프,내비게이션,스마트키,오토라이트,주차감지센서,열선시트,통풍시트,가죽시트
(351서4190)현대 올 뉴 아반떼(CN7)1.6 가솔린 인스퍼레이션,"1,830만원",20년11월(21년형),"61,294km",가솔린,CVT,"1,598cc",회색,없음,없음,1회,1,1,1,1,1,1,1,0
(33머4259)기아 올 뉴 K31.6 가솔린 럭셔리,"1,450만원",19년02월(19년형),"69,217km",가솔린,CVT,"1,598cc",진주색,없음,없음,없음,0,1,0,1,1,1,1,1
(67조7095)현대 YF쏘나타Y20 프리미어 최고급형,540만원,11년08월(12년형),"127,000km",가솔린,오토,"1,998cc",흰색,없음,없음,1회,1,1,1,1,1,1,0,0
(43다1120)현대 아반떼AD1.6 GDi Value Plus,"1,260만원",17년07월(18년형),"76,900km",가솔린,오토,"1,591cc",회색,없음,없음,3회,0,0,1,0,1,1,0,0
(경기91사2963)현대 포터2초장축 슈퍼캡 CRDi Smart,"1,930만원",23년02월(23년형),"34,059km",디젤,오토,"2,497cc",흰색,없음,없음,없음,0,0,0,0,0,0,0,0
(55고8005)현대 뉴투스카니2.0 GT 기본형,425만원,07년11월(08년형),"135,274km",가솔린,수동,"1,975cc",검정색,없음,없음,7회,1,1,0,0,1,0,0,0
(67서2908)기아 카니발 R뉴카니발 리무진 GLX 최고급형,589만원,13년11월(14년형),"228,695km",디젤,오토,"2,199cc",검정색,없음,없음,1회,0,1,0,1,1,1,0,1
(140하1313)르노코리아 더 뉴 QM62.0 GDe 2WD RE Signature,"1,870만원",19년12월(20년형),"37,077km",가솔린,CVT,"1,997cc",하늘,없음,없음,없음,0,1,1,1,1,1,1,1
(140하6823)현대 펠리세이드3.8 가솔린 7인승 익스클루시브,"2,850만원",20년08월(21년형),"40,203km",가솔린,오토,"3,778cc",흰색,없음,없음,없음,0,1,1,1,1,1,1,1
(16마7062)기아 올 뉴 카니발9인승 2.2 디젤 프레스티지,"1,690만원",17년01월(17년형),"94,881km",디젤,오토,"2,199cc",쥐색,없음,없음,3회,1,1,1,0,1,0,0,0
(82부6101)기아 봉고31.2톤 초장축 킹캡 CRDi 프레스티지,730만원,14년01월(14년형),"98,796km",디젤,수동,"2,497cc",흰색,없음,없음,없음,0,0,0,0,0,0,0,0
(289러8435)기아 디 올 뉴 스포티지 하이브리드1.6 터보 HEV AWD 시그니처 그래비티,"4,290만원",23년08월(23년형),"5,799km",하이브리드(가솔린),오토,"1,589cc",검정색,없음,없음,1회,0,1,1,1,1,1,1,1
(399모7144)현대 펠리세이드3.8 가솔린 8인승 AWD 프레스티지,"3,320만원",20년03월(20년형),"26,389km",가솔린,오토,"3,778cc",검정색,없음,없음,없음,0,1,1,1,1,1,1,1
(71저0512)현대 더 뉴 그랜드 스타렉스웨건 11인승 4WD 모던,"2,390만원",18년09월(19년형),"95,102km",디젤,오토,"2,497cc",파랑색,없음,없음,없음,1,1,0,0,1,1,1,1
(119나2977)기아 K83.5 LPG 택시 트렌디,"2,299만원",21년06월(22년형),"72,451km",LPG,오토,"3,470cc",회색,없음,없음,4회,0,1,1,1,1,1,1,1
(37다7442)기아 EV6롱 레인지 2WD 어스,"4,299만원",22년04월(22년형),"18,396km",전기,오토,0cc,파랑색,없음,없음,없음,0,0,1,0,0,0,0,0
(51도6124)기아 올 뉴 K31.6 가솔린 럭셔리,"1,269만원",19년05월(19년형),"93,721km",가솔린,오토,"1,598cc",흰색,없음,없음,1회,0,1,1,1,1,1,1,1
(371어4777)기아 카니발 4세대D2.2 9인승 시그니처,"3,850만원",20년10월(21년형),"33,259km",디젤,오토,"2,151cc",검정색,없음,없음,2회,1,1,1,1,1,1,1,1
(68다0196)제네시스 EQ9003.3 T-GDI AWD 프레스티지,"2,080만원",17년01월(17년형),"232,311km",가솔린,오토,"3,342cc",쥐색,없음,없음,1회,0,0,0,0,0,0,0,0
(52두6132)기아 올 뉴 모닝(JA)디럭스,629만원,17년03월(17년형),"58,702km",가솔린,오토,"1,000cc",진주색,없음,없음,5회,0,0,0,0,1,0,0,1
(25더4189)현대 쏘나타 하이브리드2.0 프리미엄,580만원,13년02월(14년형),"167,528km",하이브리드(가솔린),오토,"1,999cc",회색,없음,없음,1회,1,1,1,1,1,1,1,1
(111머8931)기아 K5 3세대2.0 가솔린 프레스티지,"1,779만원",20년01월(20년형),"56,209km",가솔린,오토,"1,999cc",회색,없음,없음,1회,0,1,1,1,1,1,1,1
(109서1764)기아 카니발 4세대D2.2 9인승 프레스티지,"2,299만원",20년09월(21년형),"112,670km",디젤,오토,0cc,흰색,없음,없음,3회,0,1,1,0,0,0,0,1
(33서4330)현대 그랜저HGHG240 모던 컬렉션,830만원,16년07월(17년형),"167,893km",가솔린,오토,"2,359cc",검정색,없음,없음,7회,0,1,1,1,1,1,1,1
(63오2698)현대 YF쏘나타Y20 프리미어 고급형,550만원,10년12월(11년형),"111,574km",가솔린,오토,0cc,검정색,없음,없음,4회,0,1,1,0,0,0,0,1
(154머8925)기아 더 K93.8 GDI AWD 플래티넘Ⅲ,"2,650만원",19년01월(19년형),"125,311km",가솔린,오토,"3,778cc",검정색,없음,없음,2회,0,1,1,1,1,1,1,1
(05우2411)기아 더 뉴 카니발하이리무진 2.2 디젤 9인승 노블레스 스페셜,"2,890만원",18년08월(19년형),"113,638km",디젤,오토,"2,500cc",흰색,없음,없음,3회,0,1,1,0,0,0,0,1
(41가5053)현대 코나1.6 터보 모던 팝,"1,620만원",18년04월(18년형),"66,296km",가솔린,오토,"1,591cc",흰색,없음,없음,1회,0,1,1,0,1,1,1,1
(845마8317)현대 포터2초장축 더블캡 CRDi Smart,"2,180만원",22년09월(22년형),"8,642km",디젤,오토,"2,497cc",흰색,없음,없음,1회,0,0,0,1,1,1,0,1
(20더3903)르노코리아 뉴SM5 플래티넘SE 기본형,280만원,14년06월(14년형),"154,173km",가솔린,CVT,"1,998cc",회색,없음,없음,1회,0,1,1,1,1,1,0,0
(816가7991)KG모빌리티 뉴 렉스턴 스포츠2.2 AWD 쿨멘 프레스티지,"3,399만원",23년07월(24년형),"10,644km",디젤,오토,"2,157cc",초록,없음,없음,없음,0,1,1,0,1,1,1,1
(166로1104)기아 K5 3세대2.0 가솔린 프레스티지,"2,350만원",20년02월(20년형),"34,958km",가솔린,오토,"1,999cc",흰색,없음,없음,1회,1,1,1,1,1,1,1,1
(217나3705)현대 쏘나타 하이브리드 (DN8)2.0 하이브리드 프리미엄 패밀리,"2,140만원",21년01월(21년형),"73,043km",하이브리드(가솔린),오토,"1,999cc",검정색,없음,없음,1회,0,1,1,1,1,1,1,1
(37저0686)제네시스 EQ9005.0 GDI AWD 프레스티지,"1,990만원",16년04월(16년형),"168,898km",가솔린,오토,"5,038cc",검정색,없음,없음,2회,1,1,1,1,1,1,1,1
(39다6328)제네시스 G803.3 GDI AWD 프레스티지,"2,580만원",18년03월(18년형),"36,948km",가솔린,오토,"3,342cc",회색,없음,없음,4회,0,1,1,1,1,1,1,0
(38로8256)르노코리아 QM3LE,679만원,14년06월(14년형),"55,432km",디젤,오토,0cc,진주색,없음,없음,없음,0,1,1,1,1,1,0,1
(82다7269)현대 그랜드스타렉스5인승 밴 스마트,950만원,17년09월(18년형),"218,049km",디젤,오토,"2,497cc",파랑색,없음,없음,없음,0,0,0,0,1,1,0,1
(27수9087)현대 코나1.6 터보 프리미엄,"1,680만원",18년08월(18년형),"64,000km",가솔린,오토,"1,591cc",검정색,없음,없음,3회,0,1,1,1,1,1,1,1
(149로4542)기아 스포티지 더 볼드2.0 디젤 2WD 트렌디,"1,700만원",19년09월(20년형),"51,989km",디젤,오토,0cc,흰색,없음,없음,4회,0,0,0,0,0,0,0,1
(79노5791)현대 더 뉴 그랜드 스타렉스웨건 12인승 스마트,"1,860만원",18년03월(18년형),"125,762km",디젤,오토,"2,497cc",회색,없음,없음,3회,0,1,0,1,1,1,0,1
(391수3115)기아 올 뉴 모닝밴(JA)2인승밴 고급형,590만원,19년02월(19년형),"24,920km",가솔린,오토,998cc,흰색,없음,없음,2회,0,0,0,0,0,0,0,0
(202노6951)기아 카니발 4세대D2.2 9인승 프레스티지,"2,740만원",21년12월(22년형),"121,077km",디젤,오토,"2,151cc",흰색,없음,없음,1회,0,1,1,1,1,1,1,1
(147두6476)현대 더 올 뉴 투싼(NX4)가솔린 1.6T 2WD 인스퍼레이션,"2,780만원",21년01월(21년형),"34,129km",가솔린,오토,"1,598cc",흰색,없음,없음,없음,1,1,1,0,1,1,1,1
(839나9984)기아 더 뉴 봉고3LPG 1톤 킹캡 초장축 2WD GLS,"1,680만원",22년06월(22년형),"13,568km",LPG,오토,"2,359cc",흰색,없음,없음,없음,0,0,0,0,0,0,0,0
(18모5517)기아 K52.0 LPI 프레스티지,590만원,12년01월(12년형),"157,188km",LPG,오토,"1,999cc",초록색,없음,없음,4회,1,1,1,1,1,1,0,1
(122하8468)현대 쏘나타 하이브리드 (DN8)2.0 하이브리드 모던,"2,150만원",21년09월(22년형),"68,000km",하이브리드(가솔린),오토,"1,999cc",회색,없음,없음,없음,0,0,1,1,1,1,0,1
(17모6585)현대 제네시스BH380 ROYAL VIP팩,810만원,09년10월(10년형),"125,710km",가솔린,오토,0cc,검정색,없음,없음,9회,0,0,1,0,0,0,0,0
(331구6286)기아 K5 하이브리드 3세대2.0 HEV 프레스티지,"2,750만원",22년07월(22년형),"12,919km",하이브리드(가솔린),오토,"1,999cc",검정색,없음,없음,1회,0,1,1,1,1,1,1,1
(337부7502)기아 K7 프리미어2.5 GDi 프레스티지,"1,740만원",21년02월(21년형),"133,707km",가솔린,오토,"2,497cc",검정색,없음,없음,1회,0,1,1,0,1,1,1,1
(38호2283)르노코리아 New QM3RE 기본형,"1,150만원",19년02월(19년형),"22,000km",디젤,오토,"1,461cc",빨강색,없음,없음,없음,0,1,1,1,1,1,0,1
(194호1424)기아 모닝 어반(JA)1.0 가솔린 프레스티지,"1,080만원",22년04월(22년형),"13,744km",가솔린,오토,998cc,흰색,없음,없음,없음,0,0,1,1,1,1,1,1
(14버4833)기아 all new 모닝럭셔리,699만원,13년07월(13년형),"29,892km",가솔린,오토,998cc,미색,없음,없음,3회,0,0,0,0,0,0,0,0
(148조5383)현대 캐스퍼1.0 터보 가솔린 인스퍼레이션,"1,550만원",21년12월(22년형),"52,355km",가솔린,오토,998cc,흰색,없음,없음,1회,0,1,1,1,1,1,1,1
(12노3979)한국GM 쉐보레 스파크LS 스타,319만원,11년07월(12년형),"93,239km",가솔린,오토,0cc,흰색,없음,없음,6회,0,1,1,0,1,1,0,0
(09노2042)현대 쏘나타 더 브릴리언트LPI 스마트,649만원,14년05월(14년형),"154,774km",LPG,오토,"1,998cc",회색,없음,없음,6회,0,0,1,0,1,0,0,0
(90서9234)현대 포터2초장축 더블캡 CRDi SUP 기본형,"1,250만원",15년10월(16년형),"27,971km",디젤,수동,"2,497cc",흰색,없음,없음,3회,0,1,0,1,1,1,0,1
(31우2111)기아 더 뉴 K5트렌디,500만원,13년11월(14년형),"209,000km",가솔린,오토,0cc,검정색,없음,없음,1회,0,1,0,0,0,0,0,1
(165두2248)기아 K5 3세대1.6 가솔린 터보 시그니처,"3,170만원",22년02월(22년형),"29,867km",가솔린,오토,0cc,검정색,없음,없음,1회,1,1,1,0,0,0,0,1
(153모8872)기아 더 뉴 모닝럭셔리,550만원,15년11월(16년형),"116,235km",가솔린,오토,998cc,진주색,없음,없음,4회,0,1,1,0,1,0,0,0
(10나8778)한국GM 어메이징 뉴 크루즈2.0 디젤 LTZ,350만원,15년11월(15년형),"168,067km",디젤,오토,"1,998cc",검정색,없음,없음,1회,1,1,1,1,1,1,0,1
(24거2099)기아 더 뉴 쏘렌토2.0 디젤 2WD 마스터,"2,350만원",19년03월(20년형),"79,564km",디젤,오토,"1,995cc",흰색,없음,없음,없음,0,1,1,1,1,1,1,1
(244머9667)르노코리아 뉴 QM62.0 LPe 2WD LE Signature,"2,290만원",22년08월(23년형),"40,000km",LPG,오토,"1,998cc",흰색,없음,없음,없음,0,1,1,0,1,1,0,1
