차종,가격,연식,주행거리,연료,변속기,색상,배기량,소유자변경,사고이력,열선시트,통풍시트,내비게이션,스마트키,썬루프,오토라이트,주차감지센서,가죽시트
기아 더 뉴 카니발 9인승 노블레스,"2,360만원",18년 4월식(19년형),"44,325km",디젤,,흰색,"2,199cc",1,무사고,1,1,1,1,0,0,0,0
벤츠 E-클래스 W213 E300 아방가르드 나이트 패키지,"3,390만원",16년 7월식(17년형),"23,894km",가솔린,,쥐색,"1,991cc",3,무사고,1,1,1,1,0,0,0,0
푸조 3008 2세대 2.0 BlueHDi GT,"2,120만원",19년 5월식,"70,178km",디젤,,흰색,"1,997cc",1,무사고,1,0,1,1,0,0,0,0
르노코리아(삼성) 더 뉴 QM6 LPG 2WD(일반인판매용) 2.0 LPe RE 시그니쳐,"1,780만원",19년 9월식(20년형),"73,722km",LPG,,흰색,"1,998cc",2,무사고,1,1,1,1,0,0,0,0
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처,"3,890만원",21년 3월식,"45,286km",가솔린+전기,,흰색,"1,598cc",1,무사고,1,1,1,0,0,0,0,0
현대 더 뉴 벨로스터 1.6 PYL DCT,790만원,15년 5월식,"119,232km",가솔린,,흰색,"1,591cc",3,단순수리,1,0,1,1,0,0,0,1
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처 그래비티,"3,950만원",21년 7월식(22년형),"41,357km",가솔린+전기,,검정색,"1,598cc",1,무사고,1,1,1,0,0,0,0,0
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,"2,470만원",21년 1월식(22년형),"14,131km",가솔린,,흰색,"1,591cc",2,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 더 뉴 트랙스 1.4 퍼펙트 블랙,"1,420만원",19년 2월식,"49,180km",가솔린,,검정색,"1,362cc",4,무사고,1,0,1,0,0,0,0,1
현대 쏘나타 DN8 2.0 가솔린 인스퍼레이션,"2,390만원",19년 7월식(20년형),"46,168km",가솔린,,흰색,"1,999cc",3,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) SM6 2.0 GDe LE,950만원,16년 10월식,"104,007km",가솔린,,쥐색,"1,997cc",3,무사고,1,0,0,1,0,0,0,1
기아 K5 3세대 가솔린 터보 1.6 시그니처,"2,850만원",22년 1월식,"47,368km",가솔린,,쥐색,"1,598cc",3,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 말리부 2.0 LT 디럭스팩,750만원,16년 8월식,"93,788km",가솔린,,흰색,"1,998cc",1,단순수리,1,0,1,1,0,0,0,1
